Queue Priority,Review Reason,ID,Organization,Certificate/Badge,Record Type,Category,Price Status,Evidence Status,Official URL,Source Page,Last Reviewed,Current Priority
15,free-price signal needs credential-level promotion review,C-008,Cisco Networking Academy,Cyber Threat Management,credential,Cybersecurity,✅ 0 ₽,Current-catalog signal,https://www.netacad.com/,https://www.netacad.com/,2026-08-31,
15,free-price signal needs credential-level promotion review,C-005,Cisco Networking Academy,Cybersecurity Essentials,credential,Cybersecurity,✅ 0 ₽,Current-catalog signal,https://www.netacad.com/,https://www.netacad.com/,2026-08-31,
15,free-price signal needs credential-level promotion review,C-006,Cisco Networking Academy,Endpoint Security,credential,Cybersecurity,✅ 0 ₽,Current-catalog signal,https://www.netacad.com/,https://www.netacad.com/,2026-08-31,
15,free-price signal needs credential-level promotion review,C-016,Cisco Networking Academy,English for IT 1,credential,IT,✅ 0 ₽,Current-catalog signal,https://www.netacad.com/,https://www.netacad.com/,2026-08-31,
15,free-price signal needs credential-level promotion review,C-017,Cisco Networking Academy,English for IT 2,credential,IT,✅ 0 ₽,Current-catalog signal,https://www.netacad.com/,https://www.netacad.com/,2026-08-31,
15,free-price signal needs credential-level promotion review,C-014,Cisco Networking Academy,Exploring IoT with Packet Tracer,credential,Embedded,✅ 0 ₽,Current-catalog signal,https://www.netacad.com/,https://www.netacad.com/,2026-08-31,
15,free-price signal needs credential-level promotion review,C-011,Cisco Networking Academy,Exploring Networks with Packet Tracer,credential,Networking,✅ 0 ₽,Current-catalog signal,https://www.netacad.com/,https://www.netacad.com/,2026-08-31,
15,free-price signal needs credential-level promotion review,C-010,Cisco Networking Academy,Getting Started with Cisco Packet Tracer,credential,Networking,✅ 0 ₽,Current-catalog signal,https://www.netacad.com/,https://www.netacad.com/,2026-08-31,
15,free-price signal needs credential-level promotion review,C-004,Cisco Networking Academy,Introduction to Cybersecurity,credential,Cybersecurity,✅ 0 ₽,Current-catalog signal,https://www.netacad.com/,https://www.netacad.com/,2026-08-31,
15,free-price signal needs credential-level promotion review,C-012,Cisco Networking Academy,Introduction to IoT,credential,Embedded,✅ 0 ₽,Current-catalog signal,https://www.netacad.com/,https://www.netacad.com/,2026-08-31,
15,free-price signal needs credential-level promotion review,C-013,Cisco Networking Academy,Introduction to IoT and Digital Transformation,credential,Embedded,✅ 0 ₽,Current-catalog signal,https://www.netacad.com/,https://www.netacad.com/,2026-08-31,
15,free-price signal needs credential-level promotion review,C-015,Cisco Networking Academy,Introduction to Modern AI,credential,AI,✅ 0 ₽,Current-catalog signal,https://www.netacad.com/,https://www.netacad.com/,2026-08-31,
